french_words,english_words
word,Word
je,I
de,of
est,East
pas,not
le,THE
vous,YOU
la,there
tu,you
que,that
un,A
il,he
et,And
à,has
a,has
ne,born
les,THE
ce,This
en,in
on,we
ça,That
une,a
ai,have
pour,For
des,of the
moi,Me
qui,Who
nous,We
y,Y
mais,but
me,me
dans,In
du,of
bien,GOOD
elle,She
si,if
tout,All
plus,more
non,No
mon,My
suis,am
te,you
au,At
avec,with
va,go
oui,Yes
toi,You
fait,do
ils,they
as,AS
être,be
faire,TO DO
se,se
comme,as
était,was
sur,on
quoi,What
ici,here
sais,know
lui,him
veux,want
ma,my
là,there
rien,Nothing
dit,said
es,es
où,Or
votre,your
pourquoi,Why
sont,are
cette,this
quand,When
par,by
son,her
ton,your
peux,can
vais,go
dire,say
alors,SO
comment,how
avez,have
bon,Good
ou,Or
très,very
merci,THANKS
ont,have
même,even
jamais,Never
aussi,Also
voir,see
chose,thing
allez,Go on
tous,all
deux,two
ces,these
faut,must
sa,her
êtes,are
été,summer
ta,your
fais,do 
avoir,to have
peut,can
autre,other
m,M
encore,Again
maintenant,NOW
peu,little
mes,my
vraiment,Really
temps,time
notre,OUR
toujours,always
vie,life
sans,without
juste,just
oh,Oh
avait,had
accord,agreement
vu,seen
monde,world
quelque,some
fois,times
aller,go
trop,too much
viens,come
crois,believe
dieu,God
dois,must
homme,man
père,father
sûr,on
aux,to
leur,their
avant,Before
étais,is
besoin,need
femme,women
aime,love
personne,person
avais,had
chez,at the house of
vrai,TRUE
ans,years
mal,wrong
ses,his
parler,talk
vos,your
après,After
mort,dead
veut,wanna
eu,eu
sera,will be
bonne,Good
parce,because
mieux,better
petit,little
voilà,There
tes,your 
ca,That
dis,say
beaucoup,a lot
depuis,Since
doit,must
vois,see 
mère,mother
vas,go
monsieur,Sir
quel,what
déjà,Already
fille,girl
gens,people
donc,SO
jour,day
soir,evening
autres,others
toute,all
bonjour,Good morning
maison,House
nom,name
argent,money
nos,our
ouais,Yeah
pense,think
merde,shit
nuit,night
papa,dad
cela,that
salut,Hi
cet,this
avons,have
reste,stay
désolé,Sorry
maman,Mom
peur,fear
arrive,arrived
seul,alone
vite,quickly
prendre,take
regarde,look at
air,air
soit,either
trois,three
quelle,what
passé,pass
savoir,know
plaît,jail
choses,things
moins,less
fils,son
entre,between
bas,down
appelle,call
passe,pass
ah,ah
tête,head
demain,tomorrow
grand,big
arrête,stopped
faites,do
voulez,want
hé,Hey
attends,hold on
hein,eh
enfants,children
assez,enough
raison,reason
aurais,would have
voulais,wanted
elles,they
parle,speak
ok,OK
jours,days
dû,of
moment,moment
heure,hour
puis,Then
gars,guys
hommes,men
amour,love
tard,late
toutes,all
sommes,are
tuer,kill
eh,eh
ami,friend
connais,know
petite,small
aider,help
chance,chance
savez,know
partir,leave
sait,knows
combien,How much
voiture,car
tant,so much
pris,taken
part,go
problème,issue
prends,take
porte,door
coup,cut
serait,would be
venir,come
famille,family
travail,work
pu,could
seule,alone
sens,sense
ni,neither
allons,let's go
revoir,goodbye
idée,idea
putain,whore
passer,pass
contre,against
comprends,understand
entendu,heard
trouvé,find
trouver,find
vieux,old
vient,come
pendant,during
aurait,would have
quelques,a few
attention,attention
demande,request
chercher,seek
sous,below
voici,here is
pourrait,could
sang,blood
pouvez,can
sortir,to go out
question,question
histoire,history
amis,friends
venez,come
frère,brother
rester,stay
fini,finished
ville,city
nouveau,new
truc,thing
tiens,hold
mois,month
eux,them
mec,dude
yeux,eyes
laisse,leave alone
super,great
belle,beautiful
longtemps,a long time
police,police
eau,water
heures,hours
car,because
importe,imported
cas,case
vont,are going
chaque,each
terre,earth
place,place
tué,kill
type,kind
main,hand
pardon,pardon
ensemble,together
seulement,only
guerre,war
beau,beautiful
vers,towards
prie,pray
devant,in front
trouve,find
partie,part
suite,following
compris,Understood
matin,Morning
leurs,their
aucun,none
arrivé,arrived
dessus,above
chérie,Dear
mettre,put
aide,help
étaient,were
perdu,lost
fin,END
sois,be
premier,first
genre,gender
aimerais,would like to
droit,right
donne,given
attendez,wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,bedroom
gros,fat
côté,side
venu,came
loin,far
laisser,to leave 
donner,give
jouer,play
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,power
aura,will have
mourir,die
dernière,last
donné,given
mari,husband
écoute,listen
enfin,Finally
devrait,should
mis,put
film,movie
aucune,none
fort,strong
façon,way
pays,country
prêt,ready
madame,Mrs
femmes,women
affaire,affair
pourrais,could
espère,hope
parti,left
h,h
boulot,job
endroit,place
fou,mad
corps,body
hier,yesterday
dont,of which
désolée,Sorry
grande,big
point,point
cinq,five
dehors,out
filles,girls
cause,cause
vivre,live
près,close
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,baby
celui,the one
demandé,request
possible,possible
mains,hands
ainsi,Thus
quatre,four
nouvelle,new
années,years
plein,full
semaine,week
dites,say
croire,believe
marche,walk
tour,round
école,school
manger,eat
plutôt,instead
docteur,doctor
ceux,those
vérité,truth
vue,view
arrêter,Stop
essaie,try
envie,envy
bientôt,Soon
instant,moment
dernier,last
affaires,business
arriver,arrive
demander,ask
meilleur,best
font,make
derrière,behind
c,vs
dollars,dollars
presque,almost
dr,DR
tellement,such
tomber,to fall
journée,daytime
voulait,wanted to
appeler,to call
bureau,desk
confiance,trust
garde,guard
attendre,to wait for
numéro,number
serai,will be
dur,hard
á,has
souviens,remember
o,o
voyez,see
cours,course
bonsoir,Good evening
route,road
fera,will
prend,takes
cul,ass
abord,on board
important,important
peine,penalty
croyais,believed
mot,word
devez,have to
suffit,enough
minute,minute
ferme,farm
ben,ben
plaisir,pleasure
chien,dog
jeu,game
seigneur,lord
messieurs,gentlemen
calme,calm
voudrais,would like
heureux,happy
prenez,take
mariage,marriage
voit,sees
parents,parents
lls,lls
dedans,inside
entrer,enter
lit,bed
parfait,Perfect
fous,crazy
mlle,Miss
rentrer,to return
ait,has
musique,music
arrêtez,Stop
autant,as much
service,service
reviens,come back
ceci,this
drôle,funny
attend,waits
parfois,Sometimes
téléphone,phone
retour,back
ira,will go
e,e
pauvre,poor
verre,glass
général,general
new,new
six,six
pensé,think
l,L
impossible,impossible
fête,party
adore,adore
coeur,heart
aimes,likes
ci,this
ferai,will do
président,president
doute,doubt
facile,easy
entends,hear
payer,pay
appelé,called
prison,prison
john,john
sors,go outside
café,coffee
vaut,worth
mauvais,bad
chéri,Dear
oublié,forget
bras,arm
i,I
gentil,kind
faute,mistake
équipe,team
exactement,Exactly
cœur,heart
penser,think
changer,to change
commence,begin
lieu,place
entendre,hear
ies,ies
roi,king
plan,plan
partout,everywhere
joue,plays
cher,Dear
morts,dead
rendre,give back
écrit,writing
travailler,to work
malade,sick
sinon,Otherwise
génial,awesome
regarder,look
veulent,want
montrer,to show
rentre,go home
travaille,work
armée,army
voulu,desired
cherche,look for
état,state
boire,drink
sécurité,security
dès,of the
esprit,spirit
année,year
dix,ten
york,york
laissé,leave alone
bois,drink
mets,put
propre,own
soyez,be
jack,jack
essayer,to try
faisait,did
tôt,early
surtout,Above all
arme,armed
t,t
rêve,dream
perdre,lose
avis,notice
semble,seems
pire,worse 
simple,simple
penses,thinking
parles,talk
paix,peace
livre,book
dormir,sleep
voyons,let's see
difficile,difficult
retard,delay
allait,was going to
d,d
sujet,subject
appris,learned
ensuite,Next
sauf,except
maître,master
morte,dead
noir,black
or,gold
dîner,dinner
choix,choice
serais,would be
écoute,listen
sale,dirty
étiez,have been
sûrement,certainly
an,year
ordre,order
souvent,often
essayé,try
peuvent,can
visage,face
bout,end 
changé,exchange
sérieux,serious
inquiète,worry
âge,age
photo,photo
rue,Street
tirer,to pull
comprendre,to understand
face,face
semaines,weeks
marché,walk
questions,questions
honneur,honor
ciel,sky
allé,go
garder,keep
chemin,path
grave,severe
gauche,LEFT
petits,small
courant,fluent
amie,friend
nouvelles,news
avion,plane
con,stupid
content,thrilled
force,strength
millions,millions
oublie,forget
devoir,duty
prochaine,next
prix,price
propos,about
bateau,boat
bouge,move
voix,voice
rouge,red
restez,Stay
celle,that
pouvais,could
personnes,people
ferais,would do
début,beginning
espèce,species
gueule,mouth
acheter,buy
continue,keep on going
sort,spell
faim,hunger
long,long
j,J
voyage,journey
message,message
sorte,sort
reçu,received
bienvenue,Welcome
idiot,silly
certains,some
hôpital,hospital
promis,promised
devenir,become
ouvre,open
grâce,grace
sûre,safe
problèmes,problems
armes,weapons
trucs,stuff
camp,camp
allais,alla
occupe,busy
devait,was to
manque,lack
connaissez,know
thé,tea
avaient,had
cheveux,hair
soleil,sun
salle,room
gagner,earn
laissez,leave
erreur,error
cru,believed
pars,pars
bizarre,weird
croyez,believe
sac,bag
hôtel,hotel
oncle,uncle
pièce,piece
pouvait,could
fond,bottom
soirée,evening
secret,secret
patron,boss
rapport,report
apprendre,learn
commencé,begin
sauver,save
seconde,second
pensez,Think
allô,Hello
ailleurs,elsewhere
agent,agent
froid,cold
seras,will be
pied,foot
jolie,pretty
revenir,to come back
scène,scene
pieds,feet
n,not
devons,owe
groupe,band
carte,map 
aurai,will have
effet,effect
neuf,nine
fallait,had to
monte,mounted
battre,beat
noël,Christmas
venue,coming
mots,words
tire,drawn
droite,RIGHT
libre,free
soeur,sister
situation,situation
seront,will be
faux,fake
bordel,mess
foutre,cum
lumière,light
euh,uh
incroyable,amazing
tue,kill
joli,pretty
connaît,know
debout,standing
colonel,colonel
cheval,horse
écoutez,Listen
george,George
joe,joe
vieille,old
entrez,Come in
intérieur,interior
coin,corner
auras,aura
gagné,won
fric,money
loi,law
absolument,absolutely
dame,lady
cool,cool
magnifique,Magnificent
dos,back
occuper,to occupy
présent,here
retrouver,find
réussi,successful
frank,Frank
rencontrer,meet
aviez,had
meilleure,best
âme,soul
prêts,loans
doucement,gently
table,table
lettre,letter
rappelle,remember
sam,sat
fut,was
risque,risk
ordres,orders
appel,call
commencer,to start
terminé,finished
agit,act
blanc,white
sœur,sister
pareil,The same
charlie,charlie
chaud,hot
finir,finish
touche,touch
avance,advance
ignore,ignore
meurtre,murder
tranquille,calm
anniversaire,birthday
déjeuner,lunch
disais,said
bord,edge
tom,Tom
jeunes,youth
accident,accident
parlez,speak
fasse,do
complètement,completely
déteste,hated
clair,clear
marcher,to walk
disait,said
mauvaise,bad
envoyé,sent
â,has
professeur,teacher
heureuse,happy
doivent,must
midi,noon
lire,read
moyen,AVERAGE
ferait,would do
commandant,commanding officer
vraie,real
sept,seven
forme,shape
tombe,fall
silence,silence
sortez,get out
connaître,to know
puisse,may
cadeau,gift
flics,cops
mer,sea
médecin,doctor
exact,exact
décidé,decided
moitié,half
surprise,surprise
avocat,lawyer
montre,watch
b,B
su,on
porter,to carry
télé,TV
vivant,alive
jure,sworn
disent,say
mr,MR
serez,will be
devriez,should
devenu,became
aimé,love
diable,devil
ligne,line
mission,assignment
suppose,Assumed
chacun,each
autour,around
pote,pal
grosse,fat
expliquer,explain
arrivée,arrival
monter,to go up
balle,ball
selon,according to
photos,Pictures
contrôle,control
prête,ready
anglais,English
sorti,got out
k,k
bons,good
disparu,disappeared
tenir,hold
simplement,simply
quitter,to leave
envoie,send
paul,Paul
aimer,to like
voie,way
paris,Paris
classe,class
huit,eight
offre,offer
poste,job
dangereux,dangerous
attaque,attack
impression,impression
folle,crazy
michael,Michael
mange,eat
bravo,well done
arrière,back
amérique,America
suivre,follow
aille,go
oublier,forget
peuple,people
baiser,kiss
rencontré,encounter
honte,shame
connard,asshole
trou,hole
retourner,return
chanson,song
change,exchange
arrêté,stopped
enfer,hell
écrire,to write
livres,books
habitude,habit
réponse,answer
david,David
lieutenant,lieutenant
savait,knew
radio,radio
tenez,hold
bande,band
bob,bob
rend,renders
compagnie,company
connu,known
secours,rescue
danse,dance
met,put
vol,flight
vit,lives
conneries,bullshit
aurez,will have
imagine,conceived
boîte,box
joué,plays
triste,sad
sud,south
lu,read
tel,such
merveilleux,wonderful
pute,whore
aie,Ouch
ressemble,looks like
coucher,to sleep
ennuis,troubles
volé,stolen
sortie,exit
devais,had to
combat,fight
bouche,mouth
certain,certain
visite,visit
existe,exist
bête,beast
retourne,return
approche,approach
pourtant,Yet
plusieurs,several
rire,laugh
but,aim
sergent,sergeant
public,audience
système,system
présente,present
dirai,will say
faudra,will have to
écouter,listen
hors,out
exemple,example
vendre,sell
continuer,continue
coups,strokes
pourra,may
sympa,nice
nord,north
cuisine,kitchen
époque,era
grands,tidy
héros,hero
étrange,odd
avenir,future
danger,hazard
envoyer,send
gouvernement,government
danser,to dance
lune,moon
etre,be
poser,to set down
partez,set off
normal,normal
peau,skin
santé,health
ecoutez,Listen
ouvrir,open
nez,nose
secondes,seconds
amoureux,lover
dommage,Shame
pleine,full
mille,thousand
banque,bank
voler,fly
clé,key
bonnes,good
paraît,appears
servir,serve
journal,newspaper
village,village
tient,is holding
flic,cop
salaud,bastard
juge,judge
tiré,drawn
cour,court
assis,sat
bruit,noise
terrible,terrible
prochain,next
inspecteur,inspector
liberté,freedom
blague,joke
robe,dress
crime,crime
bière,beer
tas,pile
viennent,are coming
don,Don
reine,queen
protéger,protect
seuls,only
préfère,favorite
bar,bar
dingue,crazy
vent,wind
pitié,pity
croit,believes
payé,paid
travers,through
club,club
garçons,boys
conseil,advice
mesdames,ladies
sol,ground
bonheur,happiness
rêves,dreams
centre,center
thé,tea
mêmes,same
avions,planes
mike,mike
nulle,nothing
stupide,stupid
pouvons,can
vin,wine
tante,aunt
sent,feel
fiche,form
milieu,medium
signe,sign
unis,United
appelez,call
départ,departure
inutile,useless
emmener,take away
comprenez,understand
liste,list
gamin,kid
johnny,johnny
hey,hey
prise,socket
savent,know
différent,different
verra,will see
probablement,probably
intérêt,interest
choisi,selected
parole,speech
ennemi,enemy
vêtements,clothes
aimez,like
recherche,research
société,Company
faisais,was doing
peter,to fart
œil,eye
soin,care
chère,dear
tourne,turned
ià,ià
descendre,to come down
félicitations,Congratulations
pose,laid
position,position
oeil,eye
vouloir,to want
mecs,guys
irai,go
spectacle,show
acheté,bought
laquelle,which
rôle,role
intéresse,interested
utiliser,to use
match,match
devient,becomes
quitté,quits
asseoir,Sit
environ,approximately
plait,beating
mur,wall
blessé,hurt
mise,putting
harry,harry
you,you
beauté,beauty
salope,slut
parie,bett
sert,serve
soldats,soldiers
films,movies
américain,American
marier,marry
entrée,entrance
soldat,soldier
ouvert,open
sauter,jump
londres,London
eiie,eiie
lequel,which
lâche,coward
église,church
pierre,rock 
art,art
fenêtre,window
humain,human
tort,wrong
cerveau,brain
coupable,guilty
petites,small
promets,promotion
adresse,address
prince,prince
quartier,neighborhood
espoir,hope
conduire,to drive
auriez,would have
ridicule,ridiculous
justice,justice
rose,pink
venus,Venus
max,max
jimmy,jimmy
presse,press
adieu,farewell
revient,come back
expérience,experience
présenter,to present
tombé,fall
faisons,let's do
épouser,marry
frères,brothers
veuillez,please
revenu,income
colère,anger
bill,bill
vis,screw
james,james
pourriez,could
jim,jim
intéressant,interesting
ouvrez,open
nature,nature
gosse,kid
taxi,Taxi
fier,proud
preuve,evidence
riche,rich
faudrait,should
base,base
fleurs,flowers
vide,empty
portes,doors
mademoiselle,miss 
formidable,tremendous
nul,null
directeur,director
chanter,sing
contact,contact
histoires,stories
marié,married
défense,defense
répondre,answer
excuse,excuse
responsable,responsible
deuxième,second
mary,mary
san,San
appartement,apartment
décision,decision
cinéma,movie theater
jeter,throw
aimais,loved
cacher,hide
glace,ice
occasion,occasion
dents,teeth
vacances,vacation
course,race
ravi,delighted
tueur,killer
sentir,feel
courage,courage
jésus,Jesus
allée,aisle
capable,able
essayez,try
sauvé,Safe
longue,long
parmi,among
continuez,continue
paie,pay
superbe,stunning
français,French
souvenir,memory
ouest,west
dégage,cleared
jambes,legs
coupe,cut
immédiatement,immediately
machine,machine
épouse,marry
telle,such
marie,married
mien,mine
pius,pius
certainement,certainly
bombe,bomb
types,guys
p,p
né,born
manière,manner
gagne,won
prévu,foreseen
chier,take a dump
trouves,found
u,U
idées,ideas
touché,touch
rendu,rendering
monstre,monster
km,km
retrouve,found
ha,Ha
f,F
importance,importance
joie,joy
dérange,disturbs
arrivent,arrive
court,short
pont,bridge
foutu,damn
bain,bath
oubliez,forget
tourner,turn
contente,satisfied
attendais,expected
cent,hundred
enchanté,delighted
signifie,means
américains,American
quitte,quits
poisson,fish
henry,Henry
ayez,have
terrain,ground
enquête,investigation
horrible,horrible
chat,cat
certaines,some
r,R
camion,truck
copine,girlfriend
joyeux,happy
shérif,sheriff
ramener,to bring back
descends,go down
éviter,avoid
projet,project
and,and
dossier,case
respect,respect
excellent,excellent
envers,towards
mariée,bride
occupé,busy
lorsque,when
blanche,white
majesté,majesty
rencontre,encounter
toucher,to touch
ange,angel
refuse,denied
charge,charge
billy,billy
chevaux,horses
v,V
chiens,dogs
empêcher,to prevent
dure,hard
zone,area
faits,facts
animaux,animals
meilleurs,best
plupart,mostly
emmène,take
étions,were
politique,policy
chaussures,shoes
langue,language
mangé,eat
douleur,pain
planète,planet
offrir,to offer
règles,rules
drogue,drug
réalité,reality
bus,bus
enfoiré,Motherfucker
dirais,would say
permis,permit
vécu,lived
chapeau,hat
île,island
réunion,meeting
soient,be
contraire,opposite
tony,tony
mettez,put
nick,nick
arrivera,to arrive at
excuser,excuse
code,coded
couleur,color
rapide,fast
raconte,tell
papier,paper
discuter,discuss
opération,operation
cartes,cards
nourriture,food
entier,entire
nécessaire,necessary
frais,costs
toilettes,bathroom
spécial,special
vaisseau,vessel
action,action
princesse,princess
magasin,store
copain,boyfriend
sache,beam
bu,drank
steve,steve
découvert,discovered
pain,bread
mignon,cute
taille,size 
sacré,sacred
rends,renders
eddie,Eddie
double,double
viendra,will come
imbécile,imbecile
essaye,try
champ,field
personnel,staff
client,customer
lait,milk
contrat,CONTRACT
partis,gone
sexe,sex
mienne,mine
repas,meal
mémoire,memory
destin,fate
direction,direction
dors,sleep
faite,done 
pleurer,cry
couteau,knife
malin,clever
remettre,to put back
ray,ray
témoin,witness
restes,remains
mètres,meters
trésor,treasure
gosses,kids
aiment,like
washington,Washington
habite,reside
foi,faith
puisque,since
apporté,brought
solution,solution
trouvez,Find
nouveaux,new
réfléchir,to reflect on
choisir,choose
goût,taste
remercie,thanks
détruire,destroy
université,university
doux,soft
beaux,beautiful
raconter,tell
vitesse,speed
menti,lies
três,very
procès,trial
enceinte,pregnant
amuser,entertain
niveau,level
vus,sewing
miss,miss
fermer,close
arranger,arrange
end,ending
clients,clients
rappeler,remind
Alex,Alex
failli,falling
arbre,TREE
papiers,papers
Sarah,Sarah
mérite,deserved
différence,difference
travaillé,work
disons,let's say
bleu,blue
dise,say
aimait,loved
appelles,calls
espace,space
caméra,camera
censé,supposed
qu,that
piste,track
sourire,smile
courir,run
accepter,accept
retrouvé,found
charles,Charles
jambe,leg
angleterre,England
quels,what
préparer,prepare
marre,fed up
forces,strengths
tirez,PULL
énorme,huge
Danny,Danny
trés,very
invité,guest
rentré,go home
officier,officer
pièces,pieces
lettres,letters
file,line
programme,program
tommy,tommy
arrêt,stop
fout,cum
balles,bullets
flingue,gun
chasse,hunting
regrette,regret
to,to
propres,clean
victime,victim
appartient,belongs
france,France
unique,unique
régler,adjust
moindre,lesser
compter,count
voitures,cars
énergie,energy
fil,thread
lycée,high school
crise,crisis
stop,stop
image,picture
vérifier,check
dimanche,Sunday
appareil,device
justement,exactly
richard,richard
noms,names
million,million
cassé,broken
enlever,to remove
clés,keys
noire,black
man,man
dépend,depends
derniers,last
doigts,fingers
réponds,answer
honnête,honest
prouver,prove
preuves,evidence
durant,during
souris,mouse
entendez,hear
lever,lift
oiseau,bird
belles,beautiful
oû,Or
apporte,brought
grandes,large
morceau,piece
bobby,bobby
bougez,move
amène,bring
interdit,forbidden
présence,presence
récupérer,to recover
quelles,what
manqué,lack
cou,neck
venait,came
étage,floor
regard,glance
bouger,to move
finalement,Ultimately
couper,cut
urgence,emergency
perds,losers
points,points
meurt,dies
partons,Let's start
troisième,third
savons,soaps
folie,madness
ancien,ancient
chante,sung
obtenir,get
répète,say again
toit,roof
humains,humans
robert,Robert
jardin,garden
métier,job
poche,poached
méchant,wicked
paradis,heaven
proche,close
rejoindre,join
lors,during
nombre,number
crains,fearful
règle,ruler
frapper,hit
intention,intention
succès,success
forte,strong
gentille,kind
campagne,campaign
raisons,reasons
malgré,despite
alcool,alcohol
regardé,look at
jerry,jerry
billets,tickets
fantastique,fantastic
lee,lee
théâtre,theater
vôtre,your
samedi,SATURDAY
pluie,rain
fermé,farm
relation,relationship
frappé,struck
restaurant,restaurant
douce,gentle
maladie,disease
parlait,was talking
raté,missed
casse,broken
dessous,underneath
pourrai,could
victoire,victory
voudrait,would like
remarqué,REMARK
assurer,ensure
pleure,cry
bouteille,bottle
gare,station
carrière,career
sentiments,feelings
suivi,follow up
vies,lives
fiston,son
vendu,sold
attendant,waiting
pourras,can
amoureuse,in love
mens,mens
falloir,to need
chinois,Chinese
étranger,stranger
appelait,called
assure,assured
étant,being
queue,tail
odeur,smell
enlève,remove
produit,product
meurs,die
secrets,secrets
pression,pressure
fatigué,fatigue
aies,aies
plage,beach
okay,Okay
animal,animal
frappe,struck
montagne,mountain
coffre,chest
passage,passage
suivant,following
signal,signal
discours,speech
cents,cents
claire,clear
g,g
rivière,river
costume,suit
prendra,will take
souhaite,wish
hasard,chance
journaux,newspapers
aveugle,blind
lis,read
demandez,Ask
retraite,retirement
afin,in order to
vendredi,Friday
van,van
auraient,would have
obligé,obliged
major,major
neige,snow
remercier,thank
fusil,gun
gardes,guards
faible,weak
pauvres,poor
noirs,black
gâteau,cake
cesse,stop
parfaitement,perfectly
excuses,apologize
viande,meat
ministre,minister
univers,universe
vienne,Vienna
utile,useful
demandais,asked
crétin,dumbass
gaffe,blunder
cache,hidden
disant,saying
décider,decide
dort,sleep
gaz,gas
blancs,whites
connaissance,awareness
vouliez,wanted
jake,jake
vidéo,video
bataille,battle
vive,long -lived
anna,Anna
martin,Martin
iui,Iui
os,bone
entend,hears
jeux,games
will,will
verras,will see
date,date
échapper,escape
naissance,birth
droits,rights
assassin,assassin
attendu,expected
montez,go up
nouvel,new
pensent,think
génie,genius
sérieusement,seriously
cible,target
prépare,prepared
agir,to act
militaire,military
futur,future
attraper,catch
bal,ball
europe,Europe
californie,California
donnez,give
cousin,cousin
vert,Green
poids,weight
volonté,will
ventre,belly
accepte,accepted
amené,bring
recevoir,receive
inquiétez,worry
perd,lose
autrement,otherwise
informations,information
titre,title
célèbre,famous
couple,couple
sexy,sexy
serons,will be
certaine,certain
parlons,let's talk
star,star
étoiles,stars
rome,Rome
los,the bone
répondu,answered
resté,stay
charmant,charming
puissant,powerful
zéro,zero
genoux,knees
mine,mine
couilles,balls
pilote,pilot
maria,Maria
style,style
ramène,brings back
voulons,want to
embrasser,to kiss
amener,to bring
valeur,value
fortune,fortune
reprendre,to resume
revenez,come back
vieil,old
walter,Walter
servi,served
arrivés,arrived
lève,survey
voleur,thief
côtés,sides
chris,Chris
note,note
préféré,favorite
couché,layer
milliers,thousands
aéroport,airport
