french_words,english_words
invitée,guest
injuste,unfair
désirez,wish
lampe,lamp
normalement,Normally
causer,cause
dalle,slab
mondiale,global
comptez,count
rouler,to roll
filmer,film
rapporte,report
sourd,deaf
trouveras,will find
alliance,alliance
convient,agrees
rage,rage
habitants,residents
Mamie,Granny
nuages,clouds
hmm,Hmm
trahi,betrayed
biens,goods
Lewis,Lewis
tournage,filming
créatures,creatures
militaires,military
blessures,wounds
barbara,barbara
Louise,Louise
règlement,settlement
grant,grant
étudié,studied
courez,run
habiller,dress
soeurs,sisters
soins,care
célibataire,Single
veuve,widow
Canada,Canada
dépêche,dispatch
progrès,progress
dégoûtant,disgusting
fan,fan
matière,matter
avril,april
molly,molly
cercle,circle
Davis,Davis
nucléaire,nuclear
pervers,pervert
échelle,ladder
adorer,love
trouvais,found
orchestre,orchestra
déposer,deposit
cadavres,corpses
échappe,escape
emprunter,borrow
exprimer,express
caractère,character
libéré,released
signes,signs
fêtes,holidays
vedette,star
lisez,read
commençons,Let's start
robin,Robin
généreux,generous
méchants,bad guys
formation,training
bâton,stick
timide,shy
gentils,friendly
premières,first
passagers,passengers
immense,immense
serviette,towel
mangez,eat
diriger,direct
passant,passing
Ruth,Ruth
min,min
préférée,favorite
perdez,lose
plaque,plate
espion,spy
connue,known
eaux,waters
deviennent,become
emporter,take away
Gary,Gary
cruel,cruel
citoyens,citizens
von,von
tension,tension
ranch,ranch
Karen,Karen
business,business
your,your
organiser,organize
étonne,surprised
terroristes,terrorists
that,that
micro,microphone
ordure,junk
léger,light
température,temperature
unités,units
populaire,popular
joueurs,players
beth,beth
vincent,Vincent
voies,tracks
regardais,looked
saloperie,bastard
traverse,crosspiece
intelligence,intelligence
expériences,experiences
Miami,Miami
opérations,operations
santa,santa
arrange,arrangement
dragon,dragon
sûrs,safe
enterrer,bury
pouviez,could
craindre,to fear
mortel,deadly
issue,outcome
demeure,remains
mouche,fly 
donna,donna
octobre,october
commandé,order
passeport,passport
dés,of the
couronne,crown
oublierai,will forget
accusation,charge
procédure,procedure
rendez,rendering
objection,objection
retourné,return
relax,Relax
publique,public
appart,apartment
imagines,imagines
jouent,are playing
inde,India
travaillent,working
essaies,try
Lincoln,Lincoln
psy,psyche
Vince,Vince
manuel,manual
étranges,strange
apres,After
nombreuses,many
crainte,fear
fit,fit
asile,asylum
cherchait,was looking for
branche,branch
groupes,groups
white,White
hop,hop
tradition,tradition
sel,salt
centrale,central
déçu,disappointed
tentative,attempt
négatif,negative
autorités,authorities
buter,abut
connerie,bullshit
proposé,propose
manières,manners
plaindre,complain
employé,employee
blessée,injured
influence,influence
forcer,force
bonté,goodness
Marcus,Marcus
CIA,CIA
sauvages,wild
personnelle,personal
couvre,coverage
coucou,cuckoo
audience,audience
out,out
savaient,knew
entretien,interview
bouffer,eat
ouai,yeah
impressionnant,impressive
acier,steel
renvoyer,dismiss
salade,salad
collègues,colleagues
chefs,chiefs
guérir,heal
entendue,heard
sœurs,sisters
êtait,was
semblent,seem
participer,participate
coule,flow
dépasse,exceeds
réunis,gathered
plairait,would please
enlevez,remove
trompes,trunk
résister,resist
technologie,technology
patrie,country
conséquences,consequences
Margaret,Margaret
cousine,cousin
habits,clothes
splendide,splendid
Ross,Ross
pipe,pipe
abattu,beaten down
cran,gut
nue,naked
tuyau,pipe 
accueillir,to welcome
découverte,discovery
arracher,to tear out
régime,diet
reçoit,receive
album,album
levez,lift
piqué,stung
original,original
remise,discount
allume,alight
promotion,promotion
juan,Juan
examiner,examine
franc,franc
filé,thread
éteint,extinct
canapé,couch
commander,order
dessin,drawing
guère,hardly
interroger,question
oscar,Oscar
paraître,appear
découvre,discover
département,department
vise,aim
obéir,obey
renforts,reinforcements
lily,lily
événements,events
innocents,innocent
ç,vs
organisé,organized
sain,healthy
devras,must
reprends,resume
goutte,drop
cole,cole
souffert,suffer
excitant,exciting
façons,manners
saurai,will be
charlotte,charlotte
sou,soup
réveil,awakening
ken,Ken
benny,benny
usa,USA
volée,stolen
préférerais,would prefer
suprême,supreme
tarte,pie
changent,change
revienne,come back
solitaire,lonely
cravate,tie
rocky,rocky
vérifiez,check
ose,dare
souper,supper
événement,event
remarque,REMARK
chevalier,knight
suffisamment,enough
charger,load
produire,produce
repris,taken back
record,record
carol,carol
williams,Williams
jo,joy
préparez,prepare
garce,bitch
mêle,mix
étape,stage
motel,motel
pro,pro
autorisé,allowed
principale,main
clinique,clinical
devenus,become
italie,Italy
intéressante,interesting
jonathan,Jonathan
abattre,fell
ère,time
invisible,invisible
dégâts,damage
clark,Clark
élever,raise
suggère,suggest
rigole,laugh
dent,tooth
éclater,to burst
tabac,tobacco
disques,discs
manquait,lacked
contacter,contact
valait,was worth
fusils,rifles
émotions,emotions
queje,that I
publicité,advertisement
simples,simple
éléments,elements
exception,exception
sincère,sincere
rattraper,catch up
efficace,effective
éteindre,turn off
linge,laundry
goûter,to taste
nathan,Nathan
possibilité,possibility
canard,duck
marqué,brand
caporal,corporal
déplacer,move
devrez,will have to
morale,moral
insiste,insistment
katie,katie
parking,car park
identifier,identify
pouvaient,could
personnages,characters
cabane,hut
intéressé,interested
stylo,pen
adoré,adored
attaché,attached
cri,shout
kg,kg
angle,corner
séparés,separated
traîne,dragged
instinct,instinct
déclaré,declared
sire,sire
pleut,ray
séjour,stay
ordures,garbage
Raymond,Raymond
délire,delirium
pires,worse
rumeurs,rumors
fauteuil,armchair
coûté,cost
adjoint,assistant
Stephen,Stephen
collègue,colleague
one,One
poches,pockets
novembre,november
illégal,illegal
restons,stay
bonhomme,fellow
appuie,support
difficiles,difficult
laissera,will leave
courte,short
lâ,there
tuent,kill
lot,batch
levé,survey
seules,only
vivez,live
personnalité,personality
leo,leo
scandale,scandal
conclu,concluded
frigo,fridge
admire,admire
aïe,Ouch
tragédie,tragedy
oblige,obliged
commandes,orders
pénis,penis
boue,mud
dettes,debts
enseigne,taught
obscurité,darkness
pages,pages
chapitre,chapter
violent,violent
signature,signature
conseille,advisor
vendeur,seller
visages,faces
rarement,rarely
essayait,was trying
serré,tight
mères,mothers
tels,such
halte,stop
collection,collection
désastre,disaster
noix,nut
mourra,will die
rejoins,join
reconnaissance,acknowledgement
blagues,jokes
duke,Duke
méthode,method
bienvenu,welcome
donnait,gave
gratuit,free
boîtes,boxes
marches,steps
Brooklyn,Brooklyn
valises,suitcases
enfermé,shut in
gants,gloves
rompu,broken
coïncidence,coincidence
vilain,naughty
poing,fist
britannique,British
dispute,dispute
trahison,treason
téléphoné,phone
août,august
feuilles,leaves
quatrième,fourth
révérend,reverend
censée,supposed
devaient,were to
placé,place
ténèbres,darkness
enfui,fled
impliqué,implied
vire,fired
pilules,pills
préfères,prefers
for,for
population,population
manges,eating
pleuré,cry
chasseur,hunter
livraison,delivery
reprend,resumes
emporte,take away
louer,to rent out
mette,put
bizarres,bizarre
torture,torture
remarquable,outstanding
termes,terms
journalistes,journalists
honnêtement,honestly
câble,cable
longs,long
estime,estimated
démons,demons
impôts,taxes
massacre,massacre
pomme,apple
autoroute,motorway
sociale,social
moyenne,average
ingénieur,engineer
doug,Doug
péchés,signs
laissent,leave
tarder,delay
divine,Divine
éloigner,remove
clan,clan
obligée,compulsory
xena,Xena
merveille,wonder
concentrer,focus
venons,let's come
opéra,opera
oxygène,oxygen
sexuel,sexual
industrie,industry
aimerai,would like
z,Z
sortons,let's go out
accent,accent
lawrence,Lawrence
gris,gray
sean,sean
mesures,measures
batterie,battery
toast,toast
postes,stations
communication,communication
manche,sleeve
grandir,to grow
banques,banks
tonnes,tons
gentleman,gentleman
zut,Damn
numéros,numbers
officiel,official
chariot,cart
otages,hostages
prime,prime
poésie,poetry
annuler,Cancel
jersey,Jersey
chagrin,grief
ellen,Ellen
déconne,disconnect
fabuleux,fabulous
dennis,Dennis
complexe,complex
trafic,traffic
trouille,funk
us,US
débrouiller,get off
commencent,begin
cinquante,fifty
vraies,real
discute,discuss
communiste,Communist
francs,francs
sacrifice,sacrifice
française,French
foie,liver
statue,statue
résistance,resistance
mettra,will put
volontiers,gladly
drogues,drugs
cercueil,coffin
pendu,hanged
ignorer,ignore
tireur,shooter
eut,had
piquer,sting
creuser,dig
médaille,medal
crée,creates
équipement,equipment
phase,phase
chaos,chaos
salue,salute
survie,survival
défi,challenge
trouvés,found
rencontrée,met
boum,boom
longues,long
telles,such as
arriverai,will arrive
gâché,spoils
harris,Harris
brigade,brigade
fiers,proud
ennuyeux,boring
cieux,heavens
contient,contains
aile,wing
oignons,onions
vaches,cows
sensation,sensation
chanceux,lucky
angela,Angela
gamine,kid
cooper,cooper
cessé,stopped
tina,tina
ressemblait,looked like
plante,plant
scènes,scenes
solitude,solitude
activité,activity
mobile,mobile
principe,principle
rejoint,join
économie,economy
armés,armed
plastique,plastic
regardent,look
chant,singing
verte,green
couru,ran
regardait,looked at
ford,Ford
besoins,needs
terroriste,terrorist
assister,to assist
bail,lease
roue,wheel
putes,whores
sachez,know
harold,Harold
amenez,amenez
génération,generation
causé,cause
entraîneur,coach
rigoles,channels
amanda,Amanda
présenté,present
trompez,cheat
mordu,bitten
vampire,vampire
jacques,Jacques
fans,fans
bourré,packed
éliminer,eliminate
enfoirés,bastard
freddy,Freddy
bloc,block
pourvu,provided
décisions,decisions
eve,Eve
jacob,jacob
symbole,symbol
croirait,would believe
sagesse,wisdom
politiques,policies
taux,rate
nègre,Negro
jetez,throw away
malédiction,curse
masse,mass
phrase,sentence
pompes,pumps
reconnaissant,grateful
pension,pension
renoncer,give up
sexuelle,sexual
regardant,looking
ordonne,ordered
four,oven
règne,reign
saut,leap
terreur,terror
avaler,swallow
ongles,nail
pratiquement,practically
laissons,Let us leave
jalouse,jealous
outils,tools
espérer,hope
tueurs,killers
terriblement,terribly
charité,charity
prêtes,ready
écriture,writing
oublies,forget
adorent,love
etje,and I
luxe,luxury
irez,go on
ambassadeur,ambassador
bush,bush
arrêtera,will stop
informer,inform
orage,thunderstorm
revenus,income
pisse,piss
renvoyé,referred
sachant,knowing
tombes,fallen down
rois,kiss
époux,husband
accueil,welcome
relève,succession
judy,Judy
aidez,Help
môme,kid
diego,diego
atmosphère,atmosphere
routes,roads
ravissante,ravishing
coach,coach
ennui,boredom
suffisant,sufficient
poème,poem
jouets,toys
jennifer,Jennifer
usage,use
prières,prayers
revue,review
adaptation,adaptation
suffira,will suffice
collège,college
singes,monkeys
otage,hostage
apprécier,appreciate
diplôme,diploma
bâtard,bastard
destination,destination
analyse,analysis
caroline,caroline
demandent,ask
décembre,December
côtes,ribs
casier,locker
fermes,farms
patrouille,patrol
royal,royal
tit,tit
mérites,merits
texte,text
jusque,until
tigre,tiger
çà,That
be,be
médical,medical
ieur,ie
svp,please
ron,ron
pouce,thumb
plaisantez,joke
requin,shark
essentiel,essential
espèces,species
fruit,fruit
came,cam
cesser,cease
allen,Allen
teddy,teddy
annulé,canceled
dangereuse,dangerous
poète,poet
nanas,nanas
tiendra,will hold
emmenez,take
passerai,will pass
automne,autumn
habillé,dressed
guerrier,warrior
pique,spike
savon,soap
satisfait,satisfied
sépare,separated
agi,act
ordonné,ordered
serre,tight
neil,neil
cassée,broken
deviez,had to
arts,arts
ramasser,pick up
anthony,anthony
baisser,lower
pirates,pirates
avertir,warn
menacé,threat
so,so
détendre,loosen
rembourser,repay
fabrique,made
métal,metal
expliqué,explain
lecture,reading
josh,josh
attire,attracted
carrément,downright
irons,irons
mere,mother
combats,fighting
pensons,Let's think
mélange,blend
travaillais,work
syndicat,union
queique,asic
indice,hint
marines,navy
enverrai,will send
hill,hill
processus,process
joint,seal
ouvriers,workers
marques,marks
dépassé,exceeds
pa,pa
ailles,wounds
bats,bats
pourront,may
clown,clown
poubelle,garbage can
marins,sailors
boisson,beverage
vaincre,overcome
combinaison,combination
demandait,asked
testament,will
sonné,wounded
flammes,flames
dégueulasse,disgusting
ø,Ø
administration,administration
commissariat,police station
envoyée,envoy
green,green
dépose,deposit
lâché,coward
réveillée,awake
épaules,shoulders
jay,jay
artistes,artists
culotte,cheeky
vides,empty
er,er
énormément,enormously
team,team
quittes,quit
accuse,accused
magicien,Wizard
importants,important
direz,you will say
fouiller,rummage
paierai,will pay
écoles,schools
cm,cm
reverra,will see again
articles,items
trône,throne
laboratoire,laboratory
Andrew,Andrew
panier,basket
endormi,asleep
lave,wash
buddy,Buddy
cuir,leather
huh,huh
foutus,damn
resterai,will remain
cendres,ashes
stone,stone
environnement,environment
rumeur,rumor
interrompre,interrupt
vaudrait,would be worth
matinée,morning
risquer,risk
tranquilles,quiet
earl,earl
transformer,transform
planté,plant
costumes,costumes
mickey,Mickey
machin,thing
transport,transportation
señor,señor
indique,noted
citoyen,citizen
aurions,will have
times,time
viol,rape
particulièrement,particularly
pourrons,can
shirt,shirt
connards,asshole
casino,casino
douter,doubt
pendre,hang
essaierai,will try
accomplir,accomplish
pipi,pee
allumer,to light up
reviennent,come back
certes,certainly
dessert,dessert
curiosité,curiosity
fraîche,fresh
lié,related
maurice,Mauritius
little,Little
disaient,said
vodka,vodka
pétrin,kneaded
témoignage,testimony
déclare,declared
scientifiques,scientists
coco,coconut
baissez,lower
Anderson,Anderson
censés,supposed
Kansas,Kansas
boules,balls
sauras,SAPS
éclair,flash
vain,vain
nuage,cloud
création,creation
anneau,ring
fumier,manure
rio,rio
dose,dose
profonde,deep
étude,study
atelier,workshop
cuisiner,cook
vaux,vaux
malheureuse,unhappy
catholique,Catholic
zoo,zoo
précisément,precisely
talents,talents
activités,activities
importantes,important
bouteilles,bottles
vomir,to vomit
tonnerre,thunder
ned,ned
assuré,insured
plantes,plants
hong,Hong
destinée,destiny
plaisanterie,joke
circuit,circuit
piges,rods
Moore,Moore
observer,observe
mines,mines
peindre,to paint
porno,porn
comtesse,countess
casque,helmet
rate,missed
coûter,cost
chacune,each
Jamie,Jamie
parent,parent
dépression,depression
télégramme,telegram
élu,elected
stupides,stupid
pensiez,think
partant,go by
cash,cash
profite,take advantage
caution,bail
serrer,to squeeze
maudite,cursed
intéresser,to interest
écart,gap
inquiètes,worried
oú,Or
évidence,evidence
leçons,lessons
connus,known
etc,etc
retiré,took of
Greg,Greg
rendent,make
volontaire,voluntary
nid,nest
Oliver,Oliver
he,Hey
prêter,lend
nichons,tits
capitale,capital city
témoigner,bear witness
équipes,teams
égoïste,self-centered
partent,leave
troupe,troop
sincèrement,sincerely
regretter,to regret
responsabilités,responsibilities
associés,associates
cigare,cigar
dean,dean
partirai,will leave
adversaire,opponent
générale,general
misère,misery
vampires,vampires
grève,strike
Nina,Nina
suisse,Swiss
gâteaux,cakes
diamant,diamond
catastrophe,disaster
meubles,furniture
gus,gus
voyages,trips
subir,undergo
balade,ride
allah,Allah
mêler,mix
signez,sign
enveloppe,envelope
ressenti,feeling
führer,führer
gras,fat
arrêtée,arrested
explose,explode
range,tidy
interview,interview
tombent,fall
confier,entrust
voile,veil
fiches,cards
embête,annuity
caravane,caravan
affection,affection
Manhattan,Manhattan
éléphant,elephant
blue,Blue
vagues,waves
pleins,full
fascinant,fascinating
doutais,doubt
effrayant,scary
commercial,commercial
rapporter,report
fonction,function
fixe,fixed
arrete,stopped
pères,fathers
circulation,traffic
tennis,tennis
Marc,Marc
navrée,heartbroken
civilisation,civilization
fameux,famous
retenu,retained
moutons,sheep
draps,sheets
servent,serve
jouais,played
éternelle,eternal
couches,layers
satellite,satellite
ramasse,picked up
endormir,put to sleep
fillette,girl
rendra,will return
sujets,topics
remède,remedy
portez,wear
enseigner,teach
observe,observed
ouverts,open
vues,views
sortait,was going out
passais,passed
ris,laugh
transfert,transfer
bidon,can
météo,weather report
explosé,exploded
loyauté,loyalty
dignité,dignity
planche,plank
améliorer,improve
hélicoptère,helicopter
civil,civil
liens,connections
vif,lively
maintenir,maintain
Craig,Fear
Vietnam,Vietnam
Claude,Claude
pacifique,peaceful
fringues,clothes
demie,a half
onze,eleven
we,we
mangent,eat
connaissiez,knew
rares,rare
naturelle,natural
sue,sue
ricky,ricky
assaut,assault
fâchée,angry
portent,carry
kay,kay
karl,karl
pareils,the same
légal,legal
tracy,tracy
eus,eus
pr,pr
civils,civilians
inconnue,unknown
eva,Eva
disparition,disappearance
nicky,nicky
steven,Steven
pompe,pump
méchante,evil
lancement,launch
quartiers,neighborhoods
douceur,candy
tendu,tense
feuille,leaf
stuart,Stuart
leader,leader
pilotes,pilots
ètait,was
mâle,male
tenais,held
royale,royal
cordes,ropes
arrivez,arrive
bandes,bands
promenade,ride
magnifiques,magnificent
emma,Emma
wallace,wallace
veronica,Veronica
tv,TV
adn,DNA
monseigneur,My lord
meure,detection
airs,tune
emmenée,taken
actuellement,Currently
peste,plague
Antonio,Antonio
tragique,tragic
médias,media
antenne,antenna
avertissement,warning
brille,shines
Pedro,Pedro
conflit,conflict
pompiers,firefighters
engin,machine
douée,gifted
oublions,forget
plains,plains
systèmes,systems
foire,fair
Sonny,Sonny
patiente,patient
coincée,stuck
canons,cannons
partira,will leave
soutenir,sustain
beach,beach
poussez,PUSH
saigne,bleeding
toc,toc
construction,construction
boucher,butcher
missiles,missiles
compétition,competition
buvons,let's drink
motif,pattern
ambassade,embassy
warren,warren
régiment,regiment
remarquer,to remark
enregistré,checked in
collins,collins
enregistrement,registration
doutes,doubts
sien,his
profit,profit
sammy,sammy
audition,hearing
lame,blade
opportunité,opportunity
scotch,Scotch
imaginé,conceived
coke,coke
existent,exist
budget,budget
pearl,pearl
basse,low
selle,saddle
déja,Already
historique,historical
officiellement,officially
effacer,to erase
loge,lodge
francis,francis
décrire,describe
osé,daring
éternel,eternal
serpents,snakes
demanderai,will ask
médicament,medicine
deviné,guess
armées,armies
promesses,promises
chaînes,chains
sentait,felt
association,association
viennes,come
quai,dock
poker,poker
saleté,dirt
sandy,sandy
ã,has
irak,Iraq
commences,outburst
crevé,outstanding
cuba,Cuba
wendy,Wendy
profil,profile
travis,twist
tache,stain
viendront,will come
étudie,studied
apportez,bring
tribu,tribe
crié,calls out
entraîne,lead
héroïne,heroin
changements,changes
joan,joan
correctement,correctly
essaient,try
mouvements,movements
atterrir,to land
formes,shapes
coca,Coca
fragile,fragile
poignée,handle
cadre,frame
genou,knee
conçu,designed
revu,reviewed
légitime,legitimate
sauvée,saved
déménager,to relocate
conne,stupid
dentiste,dentist
aiier,aier
ondes,waves
ralph,ralph
mené,led
discipline,discipline
évacuer,clear out
parié,betrayed
bières,beers
arabe,Arab
Russell,Russell
identifié,identified
recevez,receive
cachée,hidden
évite,avoid
dormais,dreamed
utilisez,use
décès,death
guy,guy
get,Get
demoiselle,young lady
fui,fled
ressemblent,look alike
misérable,miserable
fatigue,fatigue
ancêtres,ancestors
camions,truck
dormez,sleep
pan,bang
duré,hard
disponible,available
vôtres,yours
cuit,cooked
marchait,was walking
nage,swimming
come,come
suspects,suspect
menottes,handcuffs
nique,nique
panneau,sign
rit,laughter
pognon,cash
illusion,illusion
menu,menu
Ronnie,Ronnie
établir,establish
mettons,Let's put
retrouvée,found
sabre,saber
André,André
épuisé,exhausted
restés,remains
continues,continuous
chanteur,singer
kid,kid
lola,lola
prés,close
tendance,tendency
souvient,Remember
enfermer,enclose
thérapie,therapy
vaisselle,dishes
tournez,turn
accorde,granted
chemins,paths
troupeau,herd
saluer,greet
uh,UH
Kennedy,Kennedy
nettoie,clean
assiette,plate
discuté,discussed
touches,keys
impact,impact
dessins,drawings
rompre,to break up
suivent,follow
sienne,his
verrons,will see
angoisse,anguish
états,states
vivons,let's live
Mitchell,Mitchell
écrasé,crushed
tiennent,hold
pape,Pope
connaissons,let's know
Murphy,Murphy
Ivan,Ivan
supposé,Assumed
colonne,column
assistante,assistant
mettrai,will put
maquillage,makeup
ticket,ticket
réussite,success
quête,quest
boxe,boxing
proposer,to propose
boutons,buttons
arriverait,would arrive
assassins,assassins
répétition,repetition
agissait,acted
culpabilité,guilt
pirate,pirate
blanches,white
brésil,Brazil
penny,penny
maîtres,masters
psychiatre,psychiatrist
miracles,miracles
hello,Hello
honorable,honorable
collines,Hills
vachement,really
taureau,bull
considère,considered
âne,donkey
whoa,whoa
comprennent,understand
Christian,Christian
Justin,Justin
méthodes,methods
canal,channel
navette,shuttle
Tyler,Tyler
légère,light
sortant,outgoing
chaussettes,socks
revanche,revenge
remet,put back
mentez,lie
bud,bud
Abby,Abby
poils,fur
placer,to place
absent,absent
arrivais,arrived
escaliers,stairs
funérailles,funeral
routine,routine
noté,note
prenais,took
conducteur,driver
subi,suffered
photographe,photographer
noires,black
marchandise,merchandise
prendrais,would take
émotion,emotion
défaut,default
satan,Satan
occuperai,will occupy
dog,dog
mystérieux,mysterious
carmen,carmen
possession,possession
responsables,managers
raccroche,hang up
intentions,intentions
minimum,minimum
négocier,negotiate
janvier,January
baraque,barrack
batte,bat
irlandais,Irish
filet,net
confortable,comfortable
fermés,closed
ressources,resources
rayons,rays
innocente,innocent
Harvard,Harvard
expédition,shipping
may,May
profession,occupation
plaira,will please
bêtise,stupidity
restant,remaining
jugé,judge
Mitch,Mitch
organise,organized
rappelé,recalled
puissante,powerful
pertes,losses
saurait,would know
planque,hideout
ressentir,to feel
grotte,cave
gentiment,kindly
péter,to fart
chienne,female dog
tristesse,sadness
héritage,legacy
occupera,will occupy
Benjamin,Youngest
Antoine,Antoine
bloqué,blocked
punition,punishment
constamment,constantly
contents,happy
visites,visits
infiniment,infinitely
effectivement,Effectively
chiffre,figure
conscient,aware
manager,manager
représentant,representative
anglaise,English
cauchemars,nightmares
Jan,Jan
continué,keep on going
réduit,reduced
gré,grateful
filmé,filmed
stars,stars
Owen,Owen
embrassé,embraced
peint,painted
reparti,disturb
soie,silk
Lloyd,Lloyd
voisine,neighbor
douzaine,dozen
frankenstein,Frankenstein
attaques,attacks
gênant,embarrassing
superman,superman
arrivant,arrival
brillante,brilliant
atterrissage,landing
attendra,will wait
allure,pace
pénible,hard
faibles,weak
clef,key
Bruno,Bruno
Christine,Christine
Rebecca,Rebecca
bang,bang
pété,farty
gardiens,guards
formule,formula
soda,soda
frites,fries
fées,fairies
angel,angel
mm,mm
aperçu,preview
imaginais,imagined
aussitôt,right away
énormes,huge
wade,wade
choisit,choose
montée,climb
baignoire,bathtub
principes,principles
homo,homo
marchand,merchant
cochons,pigs
spécialiste,specialist
repéré,spotted
récupéré,recovered
extra,extra
éclate,bursts
survivants,survivors
auquel,to which
apparence,appearance
sucer,suck
habiter,live
excité,excited
Houston,Houston
jules,Jules
foudre,lightning
chasseurs,hunters
walker,walker
with,with
nièce,niece
urgences,EMERGENCIES
mérité,deserved
dépensé,spent
boys,boys
saisir,to input
équilibre,balance
allumé,alight
lâches,cowardly
bruits,noise
protégé,protected
résolu,resolved
probable,likely
poursuite,pursuit
baker,baker
résidence,residence
cognac,cognac
Clyde,Clyde
muscles,muscles
passées,past
intime,respondent
république,Republic
serviteur,servant
noyer,walnut
mortes,dead
trompée,deceived
morgue,morgue
cherchons,let's look
coma,coma
capables,capable
berger,shepherd
apprendra,will learn
amateur,amateur
dises,say
vertu,virtue
permets,allow
mafia,mafia
engagement,commitment
lesquelles,which
cachette,hide